ride_id,sample_index,cadence_rpm,distance_m,elevation_m,speed_mps,fractional_cadence,heart_rate_bpm,latitude_semicircles,longitude_semicircles,power_w,temperature_c,timestamp_utc,unknown_107,accumulated_power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_pco,left_power_phase,left_power_phase_peak,right_pco,right_power_phase,right_power_phase_peak,speed_kph,latitude_deg,longitude_deg,timestamp_unix,timestamp_fit,gear_raw,gear_label,front_gear_index,rear_gear_index,grade_percent
20260513_22862540318,445,79,1303.31,129.0,2.753,0.0,,499816692,1678664269,126,29,2026-05-13 03:44:03,1,77213.0,21.0,174,75.0,17.0,67.0,17.0,"(341.71875533935554, 189.84375296630864)","(66.09375103271486, 127.96875199951175)",10.0,"(351.56250549316417, 181.4062528344727)","(57.65625090087892, 111.09375173583987)",9.9108,41.89415115863085,140.70401360280812,1778643,,,,,,
20260513_22862540318,446,38,1305.73,129.20000000000005,2.314,0.0,,499816805,1678664585,126,29,2026-05-13 03:44:04,1,77465.0,22.0,171,77.0,17.0,67.0,12.0,"(343.1250053613282, 188.437502944336)","(66.09375103271486, 126.5625019775391)",5.0,"(352.9687555151368, 180.00000281250004)","(56.25000087890626, 111.09375173583987)",8.330400000000001,41.89416063018143,140.70404008962214,1778643,,,,,,
20260513_22862540318,447,68,1308.58,129.39999999999998,2.585,0.0,,499816915,1678664969,235,29,2026-05-13 03:44:05,1,77700.0,22.0,171,77.0,17.0,67.0,12.0,"(341.71875533935554, 188.437502944336)","(64.68750101074221, 125.15625195556643)",5.0,"(357.1875055810548, 181.4062528344727)","(56.25000087890626, 111.09375173583987)",9.306,41.89416985027492,140.70407227613032,1778643,,,,,,
20260513_22862540318,448,68,1311.09,129.60000000000002,2.687,0.0,,499817032,1678665340,242,29,2026-05-13 03:44:06,1,77700.0,18.0,171,86.0,22.0,85.0,11.0,"(338.90625529541023, 188.437502944336)","(63.28125098876955, 122.34375191162113)",5.0,"(1.4062500219726566, 184.218752878418)","(56.25000087890626, 109.68750171386722)",9.6732,41.89417965710163,140.70410337299109,1778643,,,,,,
20260513_22862540318,449,74,1314.5,130.0,2.631,0.0,,499817119,1678665801,242,29,2026-05-13 03:44:07,1,78184.0,26.0,171,89.0,21.0,82.0,12.0,"(338.90625529541023, 191.2500029882813)","(63.28125098876955, 123.75000193359378)",7.0,"(1.4062500219726566, 184.218752878418)","(56.25000087890626, 109.68750171386722)",9.4716,41.89418694935739,140.7041420135647,1778643,,,,,,
20260513_22862540318,434,87,1267.76,126.79999999999995,3.452,0.0,,499815146,1678659601,196,28,2026-05-13 03:43:52,1,75031.0,22.0,172,77.0,19.0,72.0,15.0,"(337.5000052734376, 191.2500029882813)","(60.46875094482424, 120.93750188964847)",8.0,"(355.7812555590821, 187.03125292236334)","(56.25000087890626, 116.7187518237305)",12.4272,41.894021574407816,140.70362233556807,1778643,,,,,,
20260513_22862540318,378,83,1060.06,113.20000000000005,3.331,0.0,,499806791,1678632055,242,27,2026-05-13 03:42:56,1,62229.0,21.0,176,76.0,21.0,76.0,17.0,"(333.2812552075196, 187.03125292236334)","(63.28125098876955, 120.93750188964847)",11.0,"(352.9687555151368, 184.218752878418)","(60.46875094482424, 116.7187518237305)",11.9916,41.893321266397834,140.70131345652044,1778643,,,,,,
20260513_22862540318,433,87,1263.83,126.60000000000002,3.49,0.0,,499815002,1678659084,190,28,2026-05-13 03:43:51,1,74835.0,24.0,173,82.0,20.0,69.0,13.0,"(338.90625529541023, 192.65625301025395)","(63.28125098876955, 122.34375191162113)",10.0,"(355.7812555590821, 187.03125292236334)","(56.25000087890626, 116.7187518237305)",12.564000000000002,41.89400950446725,140.70357900112867,1778643,,,,,,
20260513_22862540318,431,74,1256.86,126.20000000000005,3.574,0.0,,499814683,1678658169,241,28,2026-05-13 03:43:49,1,74445.0,28.0,172,91.0,23.0,89.0,11.0,"(340.3125053173829, 191.2500029882813)","(73.12500114257814, 129.37500202148442)",8.0,"(None, None)","(None, None)",12.8664,41.89398276619613,140.70350230671465,1778643,,,,,,
20260513_22862540318,416,59,1203.27,122.0,3.256,0.0,,499812451,1678651058,142,28,2026-05-13 03:43:34,1,70946.0,22.0,174,77.0,20.0,73.0,12.0,"(350.1562554711915, 189.84375296630864)","(67.50000105468752, 125.15625195556643)",5.0,"(1.4062500219726566, 185.62500290039068)","(63.28125098876955, 119.5312518676758)",11.7216,41.89379568211734,140.70290626958013,1778643,,,,,,
